	ACTIVITY	ALogP98	ES_Sum_aaCH	ES_Sum_aasC	ES_Sum_dO	ES_Sum_dsCH	ES_Sum_dssC	ES_Sum_sCH3	ES_Sum_ssCH2	ES_Sum_ssO	ES_Sum_sssCH	ES_Count_aaCH	ES_Count_aasC	ES_Count_dsCH	ES_Count_sCH3	ES_Count_ssCH2	ES_Count_sssCH	LogD	Molecular_Weight	Molecular_Mass	Molecular_Solubility	VSA_TotalArea	Num_Atoms	Num_Bonds	Num_Hydrogens	Num_ExplicitHydrogens	Num_ExplicitAtoms	Num_ExplicitBonds	Num_RingBonds	Num_RotatableBonds	Num_AromaticBonds	Num_Rings	Num_AromaticRings	Num_RingAssemblies	Num_Rings6	Num_Chains	Num_ChainAssemblies	Num_StereoBonds	Num_SingleBonds	Num_DoubleBonds	Num_AliphaticSingleBonds	Num_AliphaticDoubleBonds	Num_AtomClasses	Organic_Count	Molecular_SurfaceArea	Molecular_FractionalPolarSurfaceArea	Molecular_SASA	Molecular_FractionalPolarSASA	Molecular_SAVol	BIC	CIC	E_ADJ_equ	E_ADJ_mag	E_DIST_equ	E_DIST_mag	IAC_Mean	IAC_Total	IC	SIC	V_ADJ_equ	V_ADJ_mag	V_DIST_equ	CHI_0	CHI_1	CHI_2	CHI_3_C	CHI_3_P	CHI_V_0	CHI_V_1	CHI_V_2	CHI_V_3_C	CHI_V_3_P	JX	JY	Wiener	Zagreb	Kappa_1	Kappa_1_AM	Kappa_2	Kappa_2_AM	Kappa_3	Kappa_3_AM	PHI	SC_0	SC_1	SC_2	SC_3_C	SC_3_P
60	0	2.929	0.0	0.0	10.783	0.0	-0.053	4.112	5.377	4.945	0.0	0	0	0	2	6	0	2.929	158.238	158.131	-2.438	227.158	11	10	18	18	29	28	0	7	0	0	0	0	0	20	1	0	9	1	9	1	11	11	186.56	0.14	378.767	0.13	324.022	0.71737	0.97771	72.1928	86.4386	295.43	624.437	1.21701	35.2935	2.48171	0.71737	78.2645	86.4386	376.954	8.52709	5.30806	3.74318	0.28867	2.33195	7.55913	4.46469	2.67757	0.05892	1.46506	2.90884	3.08333	202.0	40	11.0	10.63	8.1	7.73384	7.90123	7.52755	7.4737	11.0	10.0	10.0	1.0	9.0
67	0	4.297	0.0	0.0	11.147	0.0	-0.017	4.315	9.135	5.085	0.0	0	0	0	2	9	0	4.297	200.318	200.178	-3.901	291.337	14	13	24	24	38	37	0	10	0	0	0	0	0	26	1	0	12	1	12	1	14	14	234.46	0.112	453.107	0.109	385.557	0.59646	1.53641	104.676	122.211	564.059	630.919	1.16743	44.3626	2.27094	0.59646	110.675	122.211	678.384	10.6484	6.80806	4.80384	0.28867	3.10095	9.68045	5.96469	3.73823	0.05892	2.24539	3.00788	3.14791	419.0	52	14.0	13.63	11.0769	10.7092	11.0	10.63	10.4261	14.0	13.0	13.0	1.0	12.0
68	0	3.841	0.0	0.0	11.058	0.0	-0.024	4.273	7.806	5.051	0.0	0	0	0	2	8	0	3.841	186.291	186.162	-3.391	269.944	13	12	22	22	35	34	0	9	0	0	0	0	0	24	1	0	11	1	11	1	13	13	218.49	0.12	428.327	0.115	365.045	0.63393	1.35458	93.6032	110.039	463.277	976.293	1.18181	41.3637	2.34585	0.63393	99.6227	110.039	566.431	9.94131	6.30806	4.45028	0.28867	2.85095	8.97335	5.46469	3.38468	0.05892	1.99539	2.99049	3.14245	334.0	48	13.0	12.63	10.0833	9.71598	9.91735	9.54477	9.43945	13.0	12.0	12.0	1.0	11.0
71	0	4.753	0.0	0.0	11.216	0.0	-0.012	4.344	10.504	5.111	0.0	0	0	0	2	10	0	4.753	214.344	214.193	-4.423	312.731	15	14	26	26	41	40	0	11	0	0	0	0	0	28	1	0	13	1	13	1	15	15	250.43	0.105	477.887	0.103	406.069	0.56228	1.71009	115.968	134.606	676.687	630.919	1.15469	47.3425	2.19679	0.56228	121.951	134.606	802.398	11.3555	7.30806	5.15739	0.28867	3.35095	10.3876	6.46469	4.09179	0.05892	2.49539	3.01752	3.14626	518.0	56	15.0	14.63	12.0714	11.7034	11.929	11.5571	11.4147	15.0	14.0	14.0	1.0	13.0
92	0	3.268	18.628	1.574	11.595	0.0	-0.288	0.0	0.314	5.175	0.0	10	2	0	0	1	0	3.268	212.244	212.084	-3.729	240.889	16	17	12	12	28	29	12	4	12	2	2	2	2	14	11	0	10	7	4	1	12	16	207.31	0.126	413.113	0.119	365.973	0.52468	1.59436	172.829	226.477	916.931	630.919	1.29583	36.2834	2.40563	0.6014	144.666	172.974	830.164	11.2173	7.86017	6.45675	0.60649	5.20956	8.7971	5.12184	3.42775	0.24285	2.22224	1.89529	1.96257	496.0	76	12.4567	10.5832	6.66666	5.23586	4.07679	3.03016	3.46327	16.0	17.0	21.0	3.0	25.0
94	0	2.727	9.696	1.034	10.994	0.0	-0.12	1.962	1.736	5.029	0.0	5	1	0	1	3	0	2.727	178.228	178.099	-2.761	223.327	13	13	14	14	27	27	6	5	6	1	1	1	1	16	6	0	9	4	6	1	11	13	189.14	0.139	383.55	0.129	334.741	0.6887	0.88536	114.009	147.207	503.333	630.919	1.29723	35.0252	2.81507	0.76073	104.676	122.211	524.987	9.51866	6.32569	4.97523	0.49279	3.57393	7.82456	4.52182	2.89628	0.17677	1.69677	2.23681	2.33392	290.0	56	11.0769	9.93438	6.45333	5.48785	4.6875	3.85357	4.19373	13.0	13.0	15.0	2.0	16.0
95	0	3.736	19.269	1.966	11.48	3.186	-0.331	0.0	0.304	5.124	0.0	10	2	2	0	1	0	3.736	238.281	238.099	-4.724	275.333	18	19	14	14	32	33	12	5	12	2	2	2	2	16	11	1	11	8	5	2	14	18	235.33	0.111	456.213	0.108	404.71	0.55555	1.52832	198.669	254.084	384.911	630.919	1.27178	40.697	2.6416	0.63348	168.967	199.421	467.0925	12.6315	8.84333	7.26794	0.69692	5.58491	9.9518	5.78252	3.83732	0.26218	2.43535	1.80052	1.85758	745.0	84	14.41	12.2718	8.22684	6.52226	5.68047	4.3094	4.44664	18.0	19.0	23.0	3.0	26.0
101	0	3.64	9.755	1.042	11.268	0.0	-0.091	2.12	4.1	5.135	0.0	5	1	0	1	5	0	3.64	206.281	206.131	-3.701	266.113	15	15	18	18	33	33	6	7	6	1	1	1	1	20	6	0	11	4	8	1	13	15	221.07	0.118	433.11	0.114	375.765	0.70769	0.90065	137.838	172.974	733.395	630.919	1.25153	41.3006	3.00623	0.76947	127.465	147.207	756.176	10.9329	7.32569	5.68234	0.49279	4.09293	9.23878	5.52182	3.60338	0.17677	2.2271	2.10592	2.19034	458.0	64	13.0667	11.9222	8.18685	7.18259	6.22222	5.32798	5.70882	15.0	15.0	17.0	2.0	18.0
102	0	2.733	9.672	1.024	11.093	0.0	-0.15	3.653	0.372	5.05	-0.053	5	1	0	2	1	1	2.734	178.228	178.099	-2.737	223.327	13	13	14	14	27	27	6	4	6	1	1	1	1	17	6	0	9	4	6	1	10	13	190.75	0.137	373.858	0.132	326.279	0.70291	0.82729	118.318	160.0	486.581	630.919	1.29723	35.0252	2.87314	0.77643	104.676	122.211	509.63	9.68179	6.19837	5.30268	0.77315	3.89307	7.9877	4.40453	3.24801	0.45463	1.69532	2.32281	2.42302	280.0	58	11.0769	9.93438	5.67187	4.77363	4.15224	3.38265	3.64793	13.0	13.0	16.0	3.0	17.0
103	0	2.979	9.71	1.032	11.204	0.0	-0.122	4.007	0.874	5.099	0.359	5	1	0	2	2	1	2.979	192.254	192.115	-3.043	244.72	14	14	16	16	30	30	6	5	6	1	1	1	1	19	6	0	10	4	7	1	11	14	206.83	0.127	398.638	0.124	346.791	0.72882	0.7682	130.454	172.974	595.229	630.919	1.2729	38.1872	3.03914	0.79823	115.968	134.606	620.239	10.3889	6.68154	5.8161	0.90104	3.66623	8.6948	4.87766	3.74425	0.58502	1.81756	2.23742	2.33096	356.0	62	12.0714	10.9278	6.4775	5.55289	5.48096	4.61569	4.33435	14.0	14.0	17.0	3.0	17.0
